symbol,tf,exit,filter,total_signals,is_n,oos_n,oos_mean,oos_wr,oos_total,expectancy_score
SPX500,4h,A,TREND_AGAINST,5,2,2,0.7642317991892228,1.0,1.5284635983784456,0.0
SPX500,4h,B,no_filter,5,2,3,1.0,1.0,3.0,0.0
SPX500,4h,B,VOL_HIGH,5,1,3,1.0,1.0,3.0,0.0
SPX500,4h,B,VOL_NORMAL,5,0,0,0.0,0.0,0.0,0.0
SPX500,4h,B,LEVEL_FRESH,5,1,2,1.0,1.0,2.0,0.0
SPX500,4h,B,TREND_ALIGN,5,0,1,1.0,1.0,1.0,0.0
SPX500,4h,B,TREND_AGAINST,5,2,2,1.0,1.0,2.0,0.0
SPX500,4h,C,no_filter,5,2,3,0.07375869772510986,0.6666666666666666,0.2212760931753296,0.0
SPX500,4h,C,VOL_HIGH,5,1,3,0.07375869772510986,0.6666666666666666,0.2212760931753296,0.0
SPX500,4h,C,VOL_NORMAL,5,0,0,0.0,0.0,0.0,0.0
SPX500,4h,C,LEVEL_FRESH,5,1,2,-0.12965709958676264,0.5,-0.2593141991735253,0.0
SPX500,4h,C,TREND_ALIGN,5,0,1,-0.3648797717370577,0.0,-0.3648797717370577,0.0
SPX500,4h,C,TREND_AGAINST,5,2,2,0.2930779324561936,1.0,0.5861558649123872,0.0
SPX500,4h,D,no_filter,5,2,3,1.1371323402134559,1.0,3.4113970206403676,0.0
SPX500,4h,D,VOL_HIGH,5,1,3,1.1371323402134559,1.0,3.4113970206403676,0.0
SPX500,4h,D,VOL_NORMAL,5,0,0,0.0,0.0,0.0,0.0
SPX500,4h,D,LEVEL_FRESH,5,1,2,1.2121684128705654,1.0,2.424336825741131,0.0
SPX500,4h,D,TREND_ALIGN,5,0,1,1.6872931106987759,1.0,1.6872931106987759,0.0
SPX500,4h,D,TREND_AGAINST,5,2,2,0.8620519549707958,1.0,1.7241039099415916,0.0
UK100,15m,A,no_filter,14,7,7,0.17765399173686341,0.5714285714285714,1.243577942158044,0.0
